

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000  0.340000E-01  0.152000E-01  0.340000E-01  0.152000E-01 -0.257773E+00   -290.353   -249.321    -31.986       1
     2.00000  0.575000E-01  0.257000E-01  0.575000E-01  0.257000E-01 -0.174603E+01   -290.518   -250.513    -20.782       2
     3.00000  0.104200E+00  0.466000E-01  0.104200E+00  0.466000E-01 -0.335132E+01   -307.950   -254.264    -22.389       3
     4.00000  0.116100E+00  0.519000E-01  0.116100E+00  0.519000E-01 -0.465142E+01   -299.483   -256.349    -25.237       4
     5.00000  0.136300E+00  0.609000E-01  0.136300E+00  0.609000E-01 -0.572643E+01   -303.367   -258.702    -28.256       5
     6.00000  0.151200E+00  0.676000E-01  0.151200E+00  0.676000E-01 -0.661111E+01   -303.971   -261.646    -31.127       6
     7.00000  0.181900E+00  0.813000E-01  0.181900E+00  0.813000E-01 -0.736787E+01   -315.865   -264.916    -34.039       7
     8.00000  0.216400E+00  0.968000E-01  0.216400E+00  0.968000E-01 -0.800955E+01   -326.902   -268.891    -36.694       8
     9.00000  0.258900E+00  0.115900E+00  0.258900E+00  0.115900E+00 -0.856507E+01   -342.106   -273.743    -39.177       9
    10.00000  0.289300E+00  0.129500E+00  0.289300E+00  0.129500E+00 -0.906370E+01   -344.659   -277.829    -41.661      10
    11.00000  0.318000E+00  0.142400E+00  0.318000E+00  0.142400E+00 -0.950808E+01   -348.984   -281.640    -44.019      11
    12.00000  0.333700E+00  0.149500E+00  0.333700E+00  0.149500E+00 -0.990236E+01   -344.143   -284.350    -46.183      12
    13.00000  0.380100E+00  0.170300E+00  0.380100E+00  0.170300E+00 -0.102551E+02   -369.610   -289.475    -48.191      13
    14.00000  0.395800E+00  0.177400E+00  0.395800E+00  0.177400E+00 -0.105817E+02   -358.992   -292.531    -50.281      14
    15.00000  0.432000E+00  0.193600E+00  0.432000E+00  0.193600E+00 -0.108844E+02   -375.418   -296.835    -52.347      15
    16.00000  0.473200E+00  0.212000E+00  0.473200E+00  0.212000E+00 -0.111636E+02   -392.172   -302.311    -54.350      16
    17.00000  0.489800E+00  0.219400E+00  0.489800E+00  0.219400E+00 -0.114205E+02   -380.739   -305.433    -56.255      17
    18.00000  0.524000E+00  0.234800E+00  0.524000E+00  0.234800E+00 -0.116565E+02   -396.734   -309.633    -58.032      18
    19.00000  0.538400E+00  0.241200E+00  0.538400E+00  0.241200E+00 -0.118733E+02   -386.620   -312.428    -59.642      19
    20.00000  0.554100E+00  0.248300E+00  0.554100E+00  0.248300E+00 -0.120768E+02   -386.179   -315.016    -61.319      20
    21.00000  0.577600E+00  0.258800E+00  0.577600E+00  0.258800E+00 -0.122708E+02   -395.099   -318.315    -62.988      21
    22.00000  0.602200E+00  0.269800E+00  0.602200E+00  0.269800E+00 -0.124555E+02   -402.463   -321.910    -64.639      22
    23.00000  0.621300E+00  0.278300E+00  0.621300E+00  0.278300E+00 -0.126308E+02   -402.594   -325.059    -66.263      23
    24.00000  0.665800E+00  0.298200E+00  0.665800E+00  0.298200E+00 -0.127972E+02   -437.058   -330.731    -67.851      24
    25.00000  0.706700E+00  0.316500E+00  0.706700E+00  0.316500E+00 -0.129547E+02   -454.219   -336.643    -69.392      25
    26.00000  0.744300E+00  0.333300E+00  0.744300E+00  0.333300E+00 -0.131038E+02   -466.163   -342.692    -70.876      26
    27.00000  0.776300E+00  0.347700E+00  0.776300E+00  0.347700E+00 -0.132447E+02   -471.122   -347.729    -72.293      27
    28.00000  0.798400E+00  0.357600E+00  0.798400E+00  0.357600E+00 -0.133779E+02   -464.715   -351.723    -73.634      28
