 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 8.    Time:   9:57:37
 Units: L = cm   , T = days , M = mmol 



                                   Node(51)                         Node(101)                         Node(151)                         Node(201)                         Node(251)                         Node(301)                         Node(351)                         Node(401)

         time           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux           h        theta    Flux
         10.0000      -1695.23  0.2394 -2.330e-02      -23036.9  0.2275 -5.880e-07      -2181.77  0.2149  1.950e-02      -959.850  0.2128  1.010e-02      -307.510  0.1760  4.130e-02      -109.420 0.08250 -6.770e-03      -74.9700  0.1636 -1.410e-01      -41.6600  0.3359 -4.850e-01
         20.0000      -1325.35  0.2455 -1.630e-02      -23021.9  0.2275 -3.470e-06      -2250.12  0.2137  2.240e-02      -1009.31  0.2104  1.330e-02      -314.750  0.1749  3.340e-02      -129.880 0.07660 -2.520e-03      -90.8900  0.1491 -5.900e-02      -61.3200  0.3155 -2.010e-01
         30.0000      -1093.08  0.2504 -1.300e-02      -22943.9  0.2276 -1.480e-05      -2287.61  0.2131  2.200e-02      -1013.04  0.2103  1.700e-02      -321.980  0.1738  2.690e-02      -143.380 0.07360 -1.370e-03      -100.980  0.1419 -3.540e-02      -76.1300  0.3035 -1.190e-01
         40.0000      -959.640  0.2536 -1.040e-02      -22701.8  0.2278 -4.120e-05      -2318.89  0.2125  2.120e-02      -1004.63  0.2106  1.950e-02      -330.140  0.1725  2.250e-02      -154.330 0.07130 -4.380e-04      -109.520  0.1370 -2.480e-02      -88.7200  0.2954 -8.510e-02
         50.0000      -883.800  0.2558 -8.610e-03      -22179.1  0.2282 -8.670e-05      -2337.44  0.2122  2.070e-02      -995.700  0.2110  2.080e-02      -338.880  0.1712  1.960e-02      -163.450 0.07000 -2.880e-04      -116.790  0.1329 -1.760e-02      -99.7200  0.2888 -6.200e-02
         60.0000      -838.710  0.2571 -6.980e-03      -21310.4  0.2290 -1.490e-04      -2340.90  0.2122  2.030e-02      -989.520  0.2113  2.120e-02      -347.880  0.1698  1.750e-02      -171.290 0.06890 -1.330e-04      -122.430  0.1301 -1.360e-02      -108.780  0.2842 -5.110e-02
         70.0000      -812.030  0.2579 -5.670e-03      -20125.2  0.2301 -2.230e-04      -2329.96  0.2124  1.990e-02      -986.540  0.2114  2.110e-02      -357.010  0.1684  1.590e-02      -178.320 0.06800  3.190e-05      -127.500  0.1282 -1.170e-02      -117.000  0.2800 -4.110e-02
         80.0000      -805.420  0.2581 -4.030e-03      -18748.3  0.2315 -2.990e-04      -2306.75  0.2127  1.950e-02      -986.350  0.2114  2.070e-02      -366.320  0.1670  1.470e-02      -184.820 0.06700  1.950e-04      -132.330  0.1265 -1.000e-02      -125.700  0.2762 -3.410e-02
         90.0000      -874.550  0.2561 -1.040e-03      -17325.6  0.2331 -3.730e-04      -2276.57  0.2133  1.920e-02      -988.380  0.2113  2.020e-02      -375.840  0.1655  1.370e-02      -191.030 0.06620  3.600e-04      -136.950  0.1249 -8.650e-03      -134.050  0.2730 -2.960e-02
         100.000      -1060.73  0.2511  6.310e-04      -15985.3  0.2347 -4.370e-04      -2240.65  0.2139  1.880e-02      -992.100  0.2111  1.960e-02      -385.560  0.1640  1.290e-02      -196.950 0.06560  3.810e-04      -141.390  0.1233 -7.460e-03      -140.920  0.2703 -2.590e-02
