 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 8.    Time:   9:57:37
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0000  0.30400E-01  0.13600E-01  0.30400E-01  0.13600E-01 -0.48463E+00  0.28930E+00  0.12950E+00  0.28930E+00  0.12950E+00 -0.90637E+01 -0.34466E+03 -0.27783E+03 -0.41661E+02  0.00000E+00  0.00000E+00  0.15812E+03  0.00000E+00  0.28930E+00     52  0.00000E+00      0.000
      20.0000  0.15700E-01  0.71000E-02  0.15700E-01  0.71000E-02 -0.20110E+00  0.55410E+00  0.24830E+00  0.55410E+00  0.24830E+00 -0.12077E+02 -0.38618E+03 -0.31502E+03 -0.61319E+02  0.00000E+00  0.00000E+00  0.15472E+03  0.00000E+00  0.55410E+00     72  0.00000E+00      0.000
      30.0000  0.47000E-01  0.21000E-01  0.47000E-01  0.21000E-01 -0.11876E+00  0.89480E+00  0.40080E+00  0.89480E+00  0.40080E+00 -0.13624E+02 -0.54159E+03 -0.36583E+03 -0.76125E+02  0.00000E+00  0.00000E+00  0.15268E+03  0.00000E+00  0.89480E+00     92  0.00000E+00      0.000
      40.0000  0.34200E-01  0.15400E-01  0.34200E-01  0.15400E-01 -0.85146E-01  0.12680E+01  0.56800E+00  0.12680E+01  0.56800E+00 -0.14633E+02 -0.71976E+03 -0.43082E+03 -0.88724E+02  0.00000E+00  0.00000E+00  0.15113E+03  0.00000E+00  0.12680E+01    112  0.00000E+00      0.000
      50.0000  0.33400E-01  0.15000E-01  0.33400E-01  0.15000E-01 -0.62048E-01  0.16307E+01  0.74410E+00  0.16307E+01  0.74410E+00 -0.15341E+02 -0.11111E+04 -0.51049E+03 -0.99717E+02  0.00000E+00  0.00000E+00  0.14988E+03  0.30000E-01  0.16607E+01    132  0.00000E+00      0.000
      60.0000 -0.75780E+00  0.54000E-02 -0.75780E+00  0.54000E-02 -0.51053E-01  0.10218E+01  0.86540E+00  0.10218E+01  0.86540E+00 -0.15904E+02 -0.17836E+03 -0.47771E+03 -0.10878E+03  0.00000E+00  0.00000E+00  0.14981E+03  0.91000E+00  0.19318E+01    237  0.00000E+00      0.000
      70.0000  0.20700E-01  0.93000E-02  0.20700E-01  0.93000E-02 -0.41066E-01  0.94270E+00  0.95090E+00  0.94270E+00  0.95090E+00 -0.16361E+02 -0.48887E+03 -0.48511E+03 -0.11700E+03  0.00000E+00  0.00000E+00  0.14934E+03  0.11800E+01  0.21227E+01    279  0.00000E+00      0.000
      80.0000  0.38400E-01  0.71400E-01  0.38400E-01  0.71400E-01 -0.34059E-01  0.13104E+01  0.13770E+01  0.13104E+01  0.13770E+01 -0.16730E+02 -0.11047E+04 -0.60410E+03 -0.12570E+03  0.00000E+00  0.00000E+00  0.14821E+03  0.12000E+01  0.25104E+01    299  0.00000E+00      0.000
